scienceplus2ch,(*ﾟ∀ﾟ)ゞカガクニュース隊,http://www.scienceplus2ch.com/,http://www.scienceplus2ch.com/index.rdf
2chcopipe,2chコピペ保存道場,http://2chcopipe.com/,http://2chcopipe.com/index.rdf
i2chmeijin,2ch名人,http://i2chmeijin.blog.fc2.com/,http://i2chmeijin.blog.fc2.com/?xml
bipblog,BIPブログ,http://bipblog.com/,http://bipblog.com/index.rdf
fx2ch,FX2ちゃんねる｜投資系まとめ,https://www.fx2ch.net,https://www.fx2ch.net/feed
itsoku,IT速報,http://blog.livedoor.jp/itsoku/,http://blog.livedoor.jp/itsoku/index.rdf
pokemongoh,NEWSぽけまとめーる,http://pokemon-goh.doorblog.jp/,http://pokemon-goh.doorblog.jp/index.rdf
akb48matomemory,NEWSまとめもりー｜2chまとめブログ,http://www.akb48matomemory.com/,http://www.akb48matomemory.com/index.rdf
otonary,OTONARY,https://otonary.net,https://otonary.net/feed
bluejay01,PCパーツまとめ,http://blog.livedoor.jp/bluejay01-review/,http://blog.livedoor.jp/bluejay01-review/index.rdf
slpy,SLPY,https://slpy.blog.fc2.com/,https://slpy.blog.fc2.com/?xml
news23vip,VIPPERな俺,http://blog.livedoor.jp/news23vip/,http://blog.livedoor.jp/news23vip/index.rdf
vippers,VIPPER速報,http://vippers.jp/,http://vippers.jp/index.rdf
news4wide,VIPワイドガイド,http://news4wide.net/,http://news4wide.net/index.rdf
vsnp,V速ニュップ,http://www.vsnp.net/,http://www.vsnp.net/index.rdf
eigotoka,eigotoka 　〜海外スレ翻訳所〜,https://eigotoka.com,https://eigotoka.com/feed
2chblog,【2ch】コピペ情報局,http://news.2chblog.jp/,http://news.2chblog.jp/index.rdf
news4vip,【2ch】ニュー速クオリティ,http://news4vip.livedoor.biz/,http://news4vip.livedoor.biz/index.rdf
kaigainohannoublog,【海外の反応】　パンドラの憂鬱,http://kaigainohannoublog.blog55.fc2.com/,http://kaigainohannoublog.blog55.fc2.com/?xml
toua2chdqn,あじあニュースちゃんねる,https://toua2chdqn.livedoor.blog/,https://toua2chdqn.livedoor.blog/index.rdf
anicobin,あにこ便,http://anicobin.ldblog.jp/,http://anicobin.ldblog.jp/index.rdf
apasoku,あぱれる速報,http://apasoku.doorblog.jp/,http://apasoku.doorblog.jp/index.rdf
aramame,あらまめ2ch,http://aramame.net,http://aramame.net/feed
itaishinja,いたしん！,http://itaishinja.com/,http://itaishinja.com/index.rdf
usi32,うしみつ-2ch怖い話まとめ-,http://usi32.com/,http://usi32.com/index.rdf
ebitsu,えび通,http://ebitsu.net/,http://ebitsu.net/index.rdf
gurum,おいしいお,http://www.gurum.biz,http://www.gurum.biz/feed
oumaga,おうまがタイムズ,http://www.oumaga-times.com/,http://www.oumaga-times.com/index.rdf
orusoku,おる速,http://orusoku.com/,http://orusoku.com/index.rdf
oryouri,お料理速報,http://oryouri.2chblog.jp/,http://oryouri.2chblog.jp/index.rdf
kazokuchannel,かぞくちゃんねる,http://kazokuchannel.doorblog.jp/,http://kazokuchannel.doorblog.jp/index.rdf
karukantimes,かるかんタイムズ,http://karukantimes.com/,http://karukantimes.com/index.rdf
