company_name,transport_passengers_teiki_tsukin,transport_passengers_teiki_tsugaku,transport_passengers_teiki_total,transport_passengers_teiki_percent,transport_passengers_teikigai,transport_passengers_teikigai_percent,transport_passengers_sum
太平洋石炭販売輸送,0,0,0,-,0,-,0
中小計,0,0,0,0,0,0,0
札幌市,52048,40715,92763,34,179665,66,272428
函館市,312,114,426,8,4720,92,5146
公営計,52360,40829,93189,34,184385,66,277574
北海道運輸局計,52360,40829,93189,34,184385,66,277574
弘南鉄道,170,1015,1185,66,619,34,1804
津軽鉄道,6,128,134,47,149,53,283
三陸鉄道,15,227,242,35,449,65,691
福島交通,1021,472,1493,55,1220,45,2713
阿武隈急行,639,909,1548,60,1047,40,2595
会津鉄道,29,189,218,42,297,58,514
秋田内陸縦貫鉄道,17,140,157,50,160,50,317
由利高原鉄道,13,151,164,70,71,30,235
山形鉄道,26,423,449,73,166,27,615
ＩＧＲいわて銀河鉄道,1471,2301,3772,72,1502,28,5274
青い森鉄道,749,1931,2680,61,1689,39,4369
八戸臨海鉄道,0,0,0,-,0,-,0
岩手開発鉄道,0,0,0,-,0,-,0
仙台臨海鉄道,0,0,0,-,0,-,0
福島臨海鉄道,0,0,0,-,0,-,0
秋田臨海鉄道,17,140,157,50,160,50,317
青函トンネル記念館,0,0,0,0,45,100,45
仙台空港鉄道,1237,121,1358,37,2316,63,3674
中小計,5410,8147,13557,58,9890,42,23446
仙台市,22033,5781,27814,49,28693,51,56507
公営計,22033,5781,27814,49,28693,51,56507
東北運輸局計,27443,13928,41371,52,38583,48,79953
長野電鉄,2403,2374,4777,62,2878,38,7655
しなの鉄道,3118,4143,7261,70,3068,30,10329
上田電鉄,222,395,617,50,610,50,1227
アルピコ交通,217,841,1058,66,539,34,1597
北越急行,137,488,625,16,3230,84,3855
富山地方鉄道,2769,3227,5996,61,3870,39,9867
黒部峡谷鉄道,7,0,7,1,976,99,983
北陸鉄道,522,980,1502,56,1195,44,2697
のと鉄道,60,401,461,69,203,31,664
万葉線,158,354,512,41,741,59,1253
関西電力,0,0,0,0,920,100,920
立山黒部貫光,0,0,0,0,2082,100,2082
富山ライトレール,515,401,916,48,1010,52,1926
えちごトキめき鉄道株式会社,24,98,122,49,127,51,249
あいの風とやま鉄道,363,230,592,66,305,34,897
ＩＲいしかわ鉄道,124,101,226,51,220,49,446
中小計,10639,14033,24672,53,21974,47,46647
北陸信越運輸局計,10639,14033,24672,53,21974,47,46647
東武鉄道,424267,151999,576266,65,308781,35,885047
西武鉄道,300510,89574,390084,62,238412,38,628496
京成電鉄,120770,35609,156379,59,110060,41,266439
京王電鉄,277935,91987,369922,58,262806,42,632728
小田急電鉄,320180,128360,448540,62,280687,38,729227
東京急行電鉄,529752,137517,667269,60,449040,40,1116309
京浜急行電鉄,203735,44387,248122,55,200441,45,448563
相模鉄道,116116,29887,146003,65,78569,35,224572
東京地下鉄,1249858,177192,1427050,57,1067779,43,2494829
大手計,3543123,886512,4429635,60,2996575,40,7426210
埼玉新都市交通,7608,2690,10298,60,6823,40,17121
埼玉高速鉄道,22391,2409,24800,71,9991,29,34791
新京成電鉄,51507,13264,64771,64,37144,36,101915
北総鉄道,19834,4737,24571,68,11311,32,35882
千葉都市モノレール,7369,1458,8827,52,8299,48,17126
東京モノレール,17719,115,17834,39,27555,61,45389
横浜シーサイドライン,9370,437,9807,54,8390,46,18197
ゆりかもめ,14106,579,14685,35,27238,65,41923
東京臨海高速鉄道,43375,3152,46527,53,41207,47,87734
東葉高速鉄道,28277,7172,35449,69,15692,31,51141
多摩都市モノレール,13791,13838,27629,58,19755,42,47384
横浜高速鉄道,30300,1764,32064,45,38752,55,70816
ひたちなか海浜鉄道,159,380,539,57,401,37,940
鹿島臨海鉄道,284,1037,1321,63,788,37,2109
関東鉄道,4565,2154,6719,62,4055,38,10774
野岩鉄道,8,11,19,5,378,95,397
上信電鉄,419,1246,1665,70,700,30,2365
