company_name,transport_passengers_teiki_tsukin,transport_passengers_teiki_tsugaku,transport_passengers_teiki_total,transport_passengers_teiki_percent,transport_passengers_teikigai,transport_passengers_teikigai_percent,transport_passengers_sum
上毛電気鉄道,278,838,1116,71,460,29,1576
秩父鉄道,2373,3047,5420,65,2870,35,8290
流鉄,1056,296,1352,49,1434,51,2786
銚子電気鉄道,37,71,108,27,286,73,394
小湊鉄道,336,392,728,58,520,42,1248
山万,260,51,311,38,506,62,817
いすみ鉄道,18,200,218,55,175,45,393
江ノ島電鉄,3362,2244,5606,32,12104,68,17710
真岡鐵道,55,734,789,71,318,29,1107
わたらせ渓谷鐵道,44,151,195,47,223,53,418
湘南モノレール,3489,1011,4500,45,5474,55,9974
伊豆箱根鉄道,3436,1103,4539,58,3222,42,7761
#箱根登山鉄道,1218,529,1747,18,8181,82,9928
富士急行,414,999,1413,42,1960,58,3373
芝山鉄道,326,41,367,68,170,32,537
筑波観光鉄道,11,0,11,3,371,97,382
高尾登山電鉄,13,0,13,1,1225,99,1238
御岳登山鉄道,1,0,1,0,483,100,484
大山観光電鉄,0,0,0,0,469,100,469
京葉臨海鉄道,0,0,0,-,0,-,0
神奈川臨海鉄道,0,0,0,-,0,-,0
舞浜リゾートライン,87,0,87,0,20045,100,20132
首都圏新都市鉄道,66946,10105,77051,65,40715,35,117766
中小計,354842,78255,433097,55,359690,45,792787
東京都,496260,67777,564037,59,393741,41,957778
横浜市,114630,25663,140293,62,85463,38,225756
公営計,610890,93440,704330,60,479204,40,1183534
関東運輸局計,4508855,1058207,5567063,59,3835469,41,9402531
名古屋鉄道,147694,94284,241978,67,118135,33,360113
大手計,147694,94284,241978,67,118135,33,360113
#伊豆箱根鉄道,3172,2502,5674,57,4313,43,9987
伊豆急行,662,591,1253,26,3586,74,4839
岳南電車,233,68,301,40,448,60,749
静岡鉄道,3861,1144,5005,45,6196,55,11201
大井川鐵道,41,98,139,21,522,79,661
遠州鉄道,2328,1596,3924,41,5727,59,9652
天竜浜名湖鉄道,283,561,844,57,637,43,1481
豊橋鉄道,2186,3162,5348,96,5150,104,10498
明知鉄道,16,242,258,61,165,39,423
長良川鉄道,95,373,468,62,292,38,760
三岐鉄道,1351,2794,4145,74,1494,26,5639
伊勢鉄道,176,197,373,22,1346,78,1719
福井鉄道,298,664,962,50,972,50,1934
愛知環状鉄道,4166,3938,8104,53,7281,47,15384
樽見鉄道,81,287,368,57,279,43,647
東海交通事業,167,24,191,53,168,47,359
名古屋ガイドウェイバス,1170,487,1657,41,2381,59,4038
西濃鉄道,0,0,0,0,0,0,0
名古屋臨海鉄道,0,0,0,0,0,0,0
衣浦臨海鉄道,0,0,0,0,0,0,0
えちぜん鉄道,607,1178,1785,54,1504,46,3289
愛知高速交通,960,3150,4110,58,2998,42,7108
名古屋臨海高速鉄道,3790,1186,4976,41,7195,59,12171
伊賀鉄道,243,865,1108,73,408,27,1517
養老鉄道,1707,2928,4635,78,1280,22,5915
中小計,27593,28035,55628,51,54342,49,109971
名古屋市,149936,83206,233142,52,218349,48,451491
公営計,149936,83206,233142,52,218349,48,451491
中部運輸局計,325223,205525,530748,58,390826,42,921575
近畿日本鉄道,213142,121653,334795,59,228817,41,563612
南海電気鉄道,102736,35852,138588,61,88442,39,227030
京阪電気鉄道,95277,41003,136280,49,144509,51,280789
阪急電鉄,222380,96313,318693,51,308844,49,627537
阪神電気鉄道,91383,23821,115204,51,112000,49,227204
大手計,724918,318642,1043560,54,882612,46,1926172
北大阪急行電鉄,26103,4257,30360,53,26677,47,57037
泉北高速鉄道,22305,9018,31323,64,17509,36,48832
神戸電鉄,25810,12416,38225,66,20026,34,58250
山陽電気鉄道,24928,8393,33321,61,21098,39,54419
神戸新交通,12676,5588,18264,50,18035,50,36299
大阪高速鉄道,12199,2384,14583,37,24817,63,39400
北神急行電鉄,4648,1074,5722,63,3384,37,9106
能勢電鉄,9147,2897,12044,56,9292,44,21336
阪堺電気軌道,1576,900,2476,31,5633,69,8109
京福電気鉄道,1499,418,1917,26,5669,74,7586
近江鉄道,1301,1652,2953,66,1517,34,4470
叡山電鉄,1713,1456,3169,47,3559,53,6728
水間鉄道,807,354,1161,61,739,39,1900
北条鉄道,38,179,217,61,141,39,358
紀州鉄道,42,19,61,58,44,42,105
北近畿タンゴ鉄道,172,808,981,53,860,47,1841
信楽高原鐵道,54,296,350,78,101,22,451
嵯峨野観光鉄道,0,0,0,0,1102,100,1102
比叡山鉄道,16,0,16,8,196,92,212
鞍馬寺,0,0,0,0,250,100,250
丹後海陸交通,1,0,1,0,605,100,606
六甲山観光,13,24,37,8,436,92,473
神戸すまいまちづくり公社,0,0,0,0,122,100,122
和歌山電鐵,692,792,1484,65,795,35,2279
中小計,145740,52925,198665,55,162607,45,361271
京都市,48354,24623,72977,48,78881,52,151858
大阪市,247696,38647,286343,33,581212,67,867555
神戸市,40455,14785,55240,53,48755,47,103995
公営計,336505,78055,414560,37,708848,63,1123408
近畿運輸局計,1207163,449622,1656785,49,1754067,51,3410851
岡山電気軌道,513,694,1207,33,2458,67,3665
一畑電車,256,500,756,53,669,47,1425
広島電鉄,9930,3460,13390,24,43028,76,56419
智頭急行,19,91,110,10,957,90,1067
若桜鉄道,52,192,244,70,103,30,347
錦川鉄道,18,93,111,59,77,41,188
広島高速交通,6967,3118,10085,51,9873,49,19958
井原鉄道,328,381,709,64,403,36,1112
スカイレールサービス,162,73,235,57,179,43,414
水島臨海鉄道,443,530,973,59,687,41,1660
中小計,18688,9132,27820,32,58434,68,86255
中国運輸局計,18688,9132,27820,32,58434,68,86255
とさでん交通,1565,468,2033,35,3793,65,5826
高松琴平電気鉄道,5260,2349,7609,59,5314,41,12923
阿佐海岸鉄道,4,3,7,16,37,84,44
伊予鉄道,5979,1681,7660,42,10747,58,18407
土佐くろしお鉄道,260,901,1161,61,755,39,1916
四国ケーブル,8,0,8,3,255,97,263
中小計,13076,5402,18478,47,20901,53,39379
四国運輸局計,13076,5402,18478,47,20901,53,39379
西日本鉄道,33455,21122,54577,55,44681,45,99258
大手計,33455,21122,54577,55,44681,45,99258
北九州高速鉄道,3774,1469,5243,46,6130,54,11373
長崎電気軌道,1017,962,1979,11,15468,89,17447
甘木鉄道,482,378,860,63,504,37,1364
筑豊電気鉄道,1613,931,2544,54,2204,46,4748
島原鉄道,270,679,949,63,560,37,1509
熊本電気鉄道,614,388,1002,50,985,50,1987
南阿蘇鉄道,6,74,80,33,162,67,242
松浦鉄道,285,1506,1791,63,1073,37,2864
平成筑豊鉄道,266,820,1086,62,654,38,1740
くま川鉄道,15,524,539,77,159,23,698
皿倉登山鉄道,0,0,0,0,176,100,176
岡本製作所,0,0,0,0,122,100,122
肥薩おれんじ鉄道,111,894,1005,77,299,23,1304
中小計,8453,8625,17078,37,28496,63,45574
福岡市,50395,19774,70169,47,78034,53,148203
熊本市,1212,761,1973,18,8904,82,10877
鹿児島市,1350,1023,2373,22,8326,78,10699
公営計,52957,21558,74515,44,95264,56,169779
九州運輸局計,94865,51305,146170,46,168441,54,314611
沖縄都市モノレール,1715,969,2684,18,12372,82,15056
中小計,1715,969,2684,18,12372,82,15056
沖縄総合事務局計,1715,969,2684,18,12372,82,15056
大手合計,4449190,1320560,5769750,59,4042003,41,9811753
中小合計,586156,205522,791679,52,728706,48,1520386
公営合計,1224681,322869,1547550,47,1714743,53,3262293
総合計（民鉄）,6260027,1848952,8108980,56,6485452,44,14594432
前年度実績（民鉄）,6157947,1896513,8054458,55,6484068,45,14538526
北海道旅客鉄道,45942,30587,76529,58,55008,42,131537
東日本旅客鉄道,3065143,761564,3826707,62,2391839,38,6218546
東海旅客鉄道,182069,86803,268872,50,267378,50,536250
西日本旅客鉄道,854496,289653,1144150,62,693306,38,1837455
四国旅客鉄道,11017,17442,28459,64,16324,36,44783
九州旅客鉄道,118835,87519,206354,65,113237,35,319591
日本貨物鉄道,0,0,0,-,0,-,0
