company_name,transport_passengers_teiki_tsukin,transport_passengers_teiki_tsugaku,transport_passengers_teiki_total,transport_passengers_teiki_percent,transport_passengers_teikigai,transport_passengers_teikigai_percent
井原鉄道,336,418,754,66,386,34
スカイレールサービス,237,121,358,63,210,37
水島臨海鉄道,465,567,1032,58,757,42
中小計,22095,10163,32258,36,58604,64
中国運輸局計,22095,10163,32258,36,58604,64
とさでん交通,1635,507,2142,35,3982,65
高松琴平電気鉄道,5881,2684,8565,60,5813,40
阿佐海岸鉄道,2,2,4,7,57,93
伊予鉄道,6527,1831,8358,43,10867,57
土佐くろしお鉄道,231,839,1070,57,791,43
四国ケーブル,7,0,7,4,167,96
中小計,14283,5863,20146,48,21677,52
四国運輸局計,14283,5863,20146,48,21677,52
西日本鉄道,36625,20042,56667,55,46759,45
大手計,36625,20042,56667,55,46759,45
北九州高速鉄道,4474,1472,5946,48,6438,52
長崎電気軌道,1018,821,1839,11,14900,89
甘木鉄道,468,376,844,61,540,39
筑豊電気鉄道,1621,979,2600,56,2075,44
島原鉄道,232,589,821,61,530,39
熊本電気鉄道,532,505,1037,48,1137,52
南阿蘇鉄道,0,0,0,0,44,100
松浦鉄道,315,1439,1754,62,1083,38
平成筑豊鉄道,243,776,1019,61,638,39
くま川鉄道,20,602,622,82,132,18
皿倉登山鉄道,0,0,0,0,212,100
岡本製作所,0,0,0,0,204,100
肥薩おれんじ鉄道,95,819,914,78,257,22
中小計,9018,8378,17396,38,28190,62
福岡市,60413,21514,81927,49,83858,51
熊本市,1411,678,2089,19,9006,81
鹿児島市,1389,1100,2489,23,8360,77
公営計,63213,23292,86505,46,101224,54
九州運輸局計,108856,51712,160568,48,176173,52
沖縄都市モノレール,2285,848,3133,17,15013,83
中小計,2285,848,3133,17,15013,83
沖縄総合事務局計,2285,848,3133,17,15013,83
大手合計,4747591,1372266,6119857,59,4266244,41
中小合計,647763,231891,879654,53,780105,47
公営合計,1354136,343382,1697518,48,1834818,52
総合計（民鉄）,6749490,1947538,8697030,56,6881166,44
前年度実績（民鉄）,6433150,1922201,8355353,55,6703966,45
北海道旅客鉄道,48516,29199,77715,57,58562,43
東日本旅客鉄道,3216836,776834,3993670,62,2494453,38
東海旅客鉄道,190492,90807,281299,50,285819,50
西日本旅客鉄道,878450,298103,1176553,61,736679,39
四国旅客鉄道,11124,17535,28659,62,17515,38
九州旅客鉄道,125230,90698,215928,64,121248,36
日本貨物鉄道,0,0,0,,0,
総合計（ＪＲ）,4470648,1303176,5773824,61,3714276,39
