company_name,transport_revenue_passenger_teiki_tsukin,transport_revenue_passenger_teiki_tsugaku,transport_revenue_passenger_teiki_total,transport_revenue_passenger_teiki_percent,transport_revenue_passenger_teikigai,transport_revenue_passenger_teikigai_percent,transport_revenue_passenger_total,transport_revenue_passenger_baggage,transport_revenue_passenger_total2
太平洋石炭販売輸送,0,0,0,,0,,0,0,0
道南いさりび鉄道,20996,28386,49382,35,91711,65,141093,0,141093
中小計,20996,28386,49382,35,91711,65,141093,0,141093
札幌市,7726799,2370703,10097502,25,30089403,75,40186905,0,40186905
函館市,49148,12555,61703,6,913710,94,975413,0,975413
公営計,7775947,2383258,10159205,25,31003113,75,41162318,0,41162318
北海道運輸局計,7796943,2411644,10208587,25,31094824,75,41303411,0,41303411
弘南鉄道,37024,129086,166110,48,182271,52,348381,18,348399
津軽鉄道,942,25286,26228,26,74055,74,100283,8,100291
三陸鉄道,9834,47068,56902,22,199674,78,256576,0,256576
福島交通,150701,42017,192718,39,303750,61,496468,0,496468
阿武隈急行,147895,161602,309497,47,352170,53,661667,0,661667
会津鉄道,21058,54141,75199,22,259708,78,334907,0,334907
秋田内陸縦貫鉄道,4124,25352,29476,24,94692,76,124168,0,124168
由利高原鉄道,4908,16952,21860,47,24425,53,46285,0,46285
山形鉄道,4283,79665,83948,59,58198,41,142146,0,142146
ＩＧＲいわて銀河鉄道,304363,283086,587449,46,676293,54,1263741,0,1263741
青い森鉄道,206259,181796,388055,28,1020593,72,1408648,0,1408648
八戸臨海鉄道,0,0,0,,0,,0,0,336155
岩手開発鉄道,0,0,0,,0,,0,0,0
仙台臨海鉄道,0,0,0,,0,,0,0,0
福島臨海鉄道,0,0,0,,0,,0,0,0
秋田臨海鉄道,0,0,0,,0,,0,0,0
青函トンネル記念館,0,0,0,0,18553,100,18553,0,0
仙台空港鉄道,157262,9589,166851,17,810449,83,977300,0,977300
中小計,1048653,1055640,2104293,34,4074831,66,6179123,26,6496751
仙台市,4665733,1217300,5883033,38,9542317,62,15425350,0,15425350
青森県,0,0,0,,0,,0,0,0
公営計,4665733,1217300,5883033,38,9542317,62,15425350,0,15425350
東北運輸局計,5714386,2272940,7987326,37,13617148,63,21604473,26,21922101
長野電鉄,499007,308608,807615,41,1152227,59,1959842,0,1959842
しなの鉄道,843530,650605,1494135,48,1639514,52,3133649,0,3133649
上田電鉄,37543,48478,86021,32,185531,68,271552,0,271552
アルピコ交通,53620,99283,152903,40,232950,60,385853,0,385853
北越急行,30796,55408,86204,23,285480,77,371684,1258,372942
富山地方鉄道,426299,451975,878274,40,1259934,60,2138208,131,2138339
黒部峡谷鉄道,1062,0,1062,0,1490624,100,1491686,23097,1514783
北陸鉄道,95044,142185,237229,44,306103,56,543332,0,543332
のと鉄道,15319,47706,63025,40,94571,60,157596,0,157596
万葉線,23603,25401,49004,29,118483,71,167487,0,167487
関西電力,0,0,0,0,1093311,100,1093311,0,1093311
立山黒部貫光,0,0,0,0,1981830,100,1981830,0,1981830
富山ライトレール,56822,29974,86796,35,161520,65,248316,0,248316
えちごトキめき鉄道,47821,146934,194755,27,518727,73,713482,0,713482
あいの風とやま鉄道,842464,453670,1296134,44,1624642,56,2920776,0,2920776
ＩＲいしかわ鉄道,289129,207322,496452,39,767549,61,1264002,0,1264002
中小計,3262059,2667549,5929609,31,12912996,69,18842606,24486,18867092
富山市,0,0,0,,0,,0,0,0
公営計,0,0,0,0,0,0,0,0,0
北陸信越運輸局計,3262059,2667549,5929609,31,12912996,69,18842606,24486,18867092
東武鉄道,58734803,7937303,66672106,45,81635506,55,148307612,0,148307612
西武鉄道,41426071,3710941,45137012,45,54211565,55,99348577,0,99348577
京成電鉄,18988118,2061399,21049517,33,42177748,67,63227265,0,63227265
京王電鉄,32099076,3683813,35782889,43,46751779,57,82534668,0,82534668
小田急電鉄,40109982,6761117,46871099,40,70451299,60,117322398,0,117322398
東京急行電鉄,57724108,6132400,63856508,45,76382761,55,140239269,0,140239269
京浜急行電鉄,29423040,2115611,31538651,39,50081775,61,81620426,0,81620426
相模鉄道,14219352,1416826,15636179,50,15760645,50,31396823,0,31396823
東京地下鉄,139341851,10533573,149875424,44,191675333,56,341550757,0,341550757
大手計,432066401,44352983,476419385,43,629128411,57,1105547795,0,1105547795
埼玉新都市交通,1267892,370371,1638263,50,1629080,50,3267343,0,3267343
埼玉高速鉄道,4722660,376901,5099561,61,3279865,39,8379426,0,8379426
新京成電鉄,4640238,668249,5308487,48,5762618,52,11071105,0,11071105
北総鉄道,6618798,649850,7268648,58,5163628,42,12432276,0,12432276
成田空港高速鉄道,0,0,0,,0,,0,0,0
千葉都市モノレール,1129505,181085,1310590,40,1993090,60,3303680,0,3303680
東京モノレール,2604647,8321,2612968,19,11041313,81,13654281,0,13654281
横浜シーサイドライン,1592064,49602,1641666,44,2062549,55,3704215,0,3704215
ゆりかもめ,1825648,50960,1876608,19,8073577,81,9950185,0,9950185
東京臨海高速鉄道,7079651,284558,7364209,38,11860012,62,19224221,0,19224221
東葉高速鉄道,8258216,1120370,9378586,60,6322497,40,15701083,0,15701083
多摩都市モノレール,2360500,1209824,3570324,42,4884674,58,8454998,0,8454998
横浜高速鉄道,3316124,114373,3430497,33,7088407,67,10518904,0,10518904
ひたちなか海浜鉄道,32746,46756,79502,40,117747,60,197249,0,197249
鹿島臨海鉄道,65496,203900,269396,43,361937,57,631333,0,631333
関東鉄道,753529,367276,1120805,49,1176992,51,2297797,0,2297797
野岩鉄道,1945,815,2760,1,257468,99,260228,0,260228
上信電鉄,120907,189605,310512,49,318209,51,628721,0,628721
上毛電気鉄道,58320,98987,157307,52,143071,48,300378,0,300378
秩父鉄道,453837,272261,726098,38,1198937,62,1925035,0,1925035
流鉄,104870,19477,124347,38,201256,62,325603,0,325603
銚子電気鉄道,5147,5187,10334,14,65368,86,75702,0,75702
小湊鉄道,85073,75743,160816,36,281058,64,441874,0,441874
山万,49072,5219,54291,43,72683,57,126974,0,126974
いすみ鉄道,3150,25939,29089,31,63583,69,92672,0,92672
江ノ島電鉄,454181,213084,667265,20,2613640,80,3280906,0,3280906
真岡鐵道,11852,107181,119033,45,146326,55,265359,0,265359
わたらせ渓谷鐵道,5753,13671,19424,13,128609,87,148033,0,148033
湘南モノレール,483418,113800,597218,36,1080992,64,1678210,0,1678210
#伊豆箱根鉄道,340804,69271,410075,42,573071,58,983147,0,983147
箱根登山鉄道,161509,40829,202338,6,3367259,94,3569597,0,3569597
富士急行,105580,142275,247855,15,1449027,85,1696882,0,1696882
芝山鉄道,34553,1359,35912,51,34298,49,70210,0,70210
筑波観光鉄道,1314,0,1314,1,186032,99,187346,0,187346
高尾登山電鉄,3199,0,3199,1,532284,99,535483,1,535484
御岳登山鉄道,131,189,320,0,240197,100,240517,1987,242504
大山観光電鉄,0,0,0,0,220993,100,220993,0,220993
京葉臨海鉄道,0,0,0,,0,,0,0,0
神奈川臨海鉄道,0,0,0,,0,,0,0,0
舞浜リゾートライン,8576,0,8576,0,4889281,100,4897857,0,4897857
千葉ニュータウン鉄道,0,0,0,,0,,0,0,0
首都圏新都市鉄道,20753631,1944026,22697657,53,20471344,47,43169001,0,43169001
成田高速鉄道アクセス,0,0,0,,0,,0,0,0
中小計,69514536,9041314,78555850,42,109352972,58,187908824,1988,187910812
東京都,66102769,4890026,70992795,47,76925165,53,147917960,0,147917960
横浜市,18598428,2640381,21238809,49,22010471,51,43249280,0,43249280
公営計,84701197,7530407,92231604,48,98935636,52,191167240,0,191167240
関東運輸局計,586282135,60924704,647206839,44,837417018,56,1484623859,1988,1484625847
名古屋鉄道,31791562,7231478,39023040,44,49351500,56,88374540,48755,88423295
大手計,31791562,7231478,39023040,44,49351500,56,88374540,48755,88423295
#伊豆箱根鉄道,390273,216030,606303,36,1060570,64,1666873,0,1666873
伊豆急行,171212,81303,252515,8,3080467,92,3332982,1189,3334171
岳南電車,37403,10432,47835,33,95920,67,143755,0,143755
静岡鉄道,416898,92891,509789,33,1013041,67,1522830,0,1522830
大井川鐵道,10997,10757,21754,3,773281,97,795035,969,796004
遠州鉄道,339879,180458,520337,32,1130515,68,1650852,81,1650933
天竜浜名湖鉄道,61332,89774,151106,35,280973,65,432079,0,432079
豊橋鉄道,306850,314807,621657,39,943898,61,1565555,2,1565557
明知鉄道,3419,33255,36674,40,56139,60,92813,0,92813
長良川鉄道,20247,64017,84264,34,166285,66,250549,40,250589
三岐鉄道,202151,287422,489573,56,386324,44,875897,0,875897
伊勢鉄道,35422,21815,57237,10,491685,90,548922,0,548922
福井鉄道,60058,88589,148647,42,205736,58,354383,0,354383
愛知環状鉄道,1006413,551000,1557413,38,2541427,62,4098840,0,4098840
樽見鉄道,19729,37410,57139,37,97792,63,154931,0,154931
東海交通事業,36008,4323,40331,43,53489,57,93820,0,93820
名古屋ガイドウェイバス,156420,29795,186215,31,419359,69,605574,0,605574
上飯田連絡線,0,0,0,,0,,0,0,0
西濃鉄道,0,0,0,,0,,0,0,0
名古屋臨海鉄道,0,0,0,,0,,0,0,0
衣浦臨海鉄道,0,0,0,,0,,0,0,0
えちぜん鉄道,142705,180803,323508,40,480335,60,803843,605,804448
中部国際空港連絡鉄道,0,0,0,,0,,0,0,0
愛知高速交通,254631,381991,636622,40,957768,60,1594390,0,1594390
名古屋臨海高速鉄道,706027,88318,794346,28,2060335,72,2854681,0,2854681
伊賀鉄道,46505,67492,113997,54,97445,46,211442,0,211442
養老鉄道,284679,258045,542724,56,419220,44,961944,2376,964320
四日市あすなろう鉄道,113096,62572,175668,47,195071,53,370739,1270,372009
養老線管理機構,0,0,0,,0,,0,0,0
中小計,4822354,3153299,7975654,32,17007075,68,24982729,6532,24989261
名古屋市,23070530,7162467,30232997,40,45693829,60,75926826,0,75926826
四日市市,0,0,0,,0,,0,0,0
公営計,23070530,7162467,30232997,40,45693829,60,75926826,0,75926826
中部運輸局計,59684446,17547244,77231691,41,112052404,59,189284095,55287,189339382
近畿日本鉄道,39428537,8107859,47536396,32,102376325,68,149912721,36970,149949691
南海電気鉄道,19920131,2568518,22488649,39,35464426,61,57953075,0,57953075
京阪電気鉄道,14477571,2063986,16541557,32,35278638,68,51820195,0,51820195
阪急電鉄,28690653,4507833,33198486,34,63136996,66,96335482,475,96335956
阪神電気鉄道,10576863,1221020,11797883,35,21638210,65,33436093,0,33436093
大手計,113093755,18469216,131562971,34,257894595,66,389457566,37445,389495010
北大阪急行電鉄,1811793,176165,1987958,39,3088978,61,5076936,0,5076936
泉北高速鉄道,2796534,670635,3467169,48,3733022,52,7200191,0,7200191
神戸電鉄,3637878,988409,4626286,49,4810229,51,9436515,0,9436515
#神戸高速鉄道,0,0,0,,0,,0,0,0
山陽電気鉄道,5141633,779209,5920842,47,6598933,53,12519775,0,12519775
神戸新交通,1925028,486558,2411586,36,4202794,64,6614380,0,6614380
大阪高速鉄道,2536806,285458,2822264,27,7738581,73,10560845,0,10560845
北神急行電鉄,895717,136585,1032302,50,1052986,50,2085288,0,2085288
関西高速鉄道,0,0,0,,0,,0,0,0
