company_name,transport_revenue_passenger_teiki_tsukin,transport_revenue_passenger_teiki_tsugaku,transport_revenue_passenger_teiki_total,transport_revenue_passenger_teiki_percent,transport_revenue_passenger_teikigai,transport_revenue_passenger_teikigai_percent,transport_revenue_passenger_total,transport_revenue_passenger_baggage,transport_revenue_passenger_total2
太平洋石炭販売輸送,0,0,0,-,0,-,0,0,0
道南いさりび鉄道,4220,1518,5738,45,6927,55,12665,0,12665
中小計,4220,1518,5738,45,6927,55,12665,0,12665
札幌市,6934066,2335532,9269598,24,28699385,76,37968983,0,37968983
函館市,43913,13259,57172,6,826487,94,883659,0,883659
公営計,6977979,2348791,9326770,24,29525872,76,38852642,0,38852642
北海道運輸局計,6982199,2350309,9332508,24,29532799,76,38865307,0,38865307
弘南鉄道,34696,133804,168500,48,185286,52,353786,21,353807
津軽鉄道,1386,26222,27608,26,76884,74,104492,8,104500
三陸鉄道,7683,50837,58520,18,271108,82,329628,0,329628
福島交通,150408,45139,195547,39,300587,61,496134,0,496134
阿武隈急行,151884,169102,320986,47,369272,53,690258,0,690258
会津鉄道,15272,53790,69062,23,230580,77,299642,0,299642
秋田内陸縦貫鉄道,6014,32025,38039,28,99442,72,137481,0,137481
由利高原鉄道,3209,23540,26749,50,26332,50,53081,0,53081
山形鉄道,5329,79612,84941,59,60173,41,145114,0,145114
ＩＧＲいわて銀河鉄道,313842,279005,592847,42,817971,58,1410818,0,1410819
青い森鉄道,200183,175477,375660,22,1234518,77,1610178,0,1610178
八戸臨海鉄道,0,0,0,-,0,-,0,0,0
岩手開発鉄道,0,0,0,-,0,-,0,0,0
仙台臨海鉄道,0,0,0,-,0,-,0,0,0
福島臨海鉄道,0,0,0,-,0,-,0,0,0
秋田臨海鉄道,0,0,0,-,0,-,0,0,0
青函トンネル記念館,0,0,0,0,20885,100,20885,0,20885
仙台空港鉄道,145211,7550,152761,17,732107,83,884868,0,884868
中小計,1035117,1076103,2111220,32,4425145,68,6536365,29,6536395
仙台市,3629567,712611,4342178,39,6894899,61,11237077,0,11237077
青森県,0,0,0,-,0,-,0,0,0
公営計,3629567,712611,4342178,39,6894899,61,11237077,0,11237077
東北運輸局計,4664684,1788714,6453398,36,11320044,64,17773442,29,17773472
長野電鉄,457219,269540,726759,38,1161645,62,1888404,0,1888404
しなの鉄道,828928,655911,1484839,47,1669301,53,3154140,0,3154140
上田電鉄,34765,49470,84235,30,193490,70,277725,0,277725
アルピコ交通,53653,102164,155817,41,220283,59,376100,0,376100
北越急行,34807,49053,83860,20,326381,80,410241,0,410241
富山地方鉄道,402328,437841,840168,32,1323576,68,2163744,131,2163875
黒部峡谷鉄道,2275,0,2275,0,1619325,100,1621600,22130,1643730
北陸鉄道,86891,134450,221341,43,290737,57,512078,0,512078
のと鉄道,13021,55033,68054,37,115455,63,183509,0,183509
万葉線,22766,25257,48023,28,120856,72,168879,0,168879
関西電力,0,0,0,0,1176551,100,1176551,0,1176551
立山黒部貫光,0,0,0,0,2043313,100,2043313,0,2043313
富山ライトレール,52047,29213,81260,32,176001,68,257261,0,257261
えちごトキめき鉄道,44873,141464,186338,26,527436,74,713774,0,713774
あいの風とやま鉄道,856595,435429,1292024,43,1696028,57,2988052,0,2988052
ＩＲいしかわ鉄道,290976,215891,506867,38,815473,62,1322340,0,1322340
中小計,3181144,2600716,5781860,30,13475851,70,19257711,22261,19279972
富山市,0,0,0,-,0,-,0,0,0
公営計,0,0,0,0,0,0,0,0,0
北陸信越運輸局計,3181144,2600716,5781860,30,13475851,70,19257711,22261,19279972
東武鉄道,57784833,7969081,65753914,45,79032729,55,144786643,0,144786643
西武鉄道,39944950,3738832,43683782,45,53286190,55,96969972,0,96969972
京成電鉄,18135572,2016723,20152295,34,38503077,66,58655372,0,58655372
京王電鉄,30792394,3688224,34480618,43,45832733,57,80313351,0,80313351
小田急電鉄,39060379,6846702,45907081,40,68973834,60,114880915,0,114880915
東京急行電鉄,55655786,6080753,61736539,45,75498774,55,137235313,0,137235313
京浜急行電鉄,28368153,2098411,30466564,39,48202898,61,78669462,0,78669462
相模鉄道,13931257,1415209,15346466,49,15697259,51,31043725,0,31043725
東京地下鉄,132147451,10186384,142333835,44,184830120,56,327163955,0,327163955
大手計,415820775,44040319,459861094,43,609857614,57,1069718708,0,1069718708
埼玉新都市交通,1194169,368728,1562897,49,1607089,51,3169986,0,3169986
埼玉高速鉄道,4207777,354857,4562634,60,3052834,40,7615468,0,7615468
新京成電鉄,4555084,676141,5231225,48,5756394,52,10987619,0,10987619
北総鉄道,6280080,678753,6958833,58,5080039,42,12038872,0,12038872
成田空港高速鉄道,0,0,0,-,0,-,0,0,0
千葉都市モノレール,1052559,158872,1211431,39,1914854,61,3126285,0,3126285
東京モノレール,2359945,6439,2366384,19,10337436,81,12703820,0,12703820
横浜シーサイドライン,1523249,53070,1576319,43,2113741,57,3690060,0,3690060
ゆりかもめ,1991826,48530,2040356,20,8138553,80,10178909,0,10178909
東京臨海高速鉄道,6692339,259327,6951666,38,11449175,62,18400841,0,18400841
東葉高速鉄道,7874925,1011392,8886317,59,6120281,41,15006598,0,15006598
多摩都市モノレール,2203734,1229773,3433507,42,4785454,58,8218961,0,8218961
横浜高速鉄道,3064451,110358,3174809,32,6881585,68,10056394,0,10056394
ひたちなか海浜鉄道,32408,49122,81530,41,118365,59,199895,0,199895
鹿島臨海鉄道,71025,202034,273059,44,345494,56,618553,0,618553
関東鉄道,731358,337308,1068666,49,1117267,51,2185933,0,2185933
野岩鉄道,2703,1269,3972,2,200917,98,204889,0,204889
上信電鉄,9383,11340,20723,41,30106,59,50829,0,50829
上毛電気鉄道,59558,101028,160586,52,149499,48,310085,0,310085
秩父鉄道,458437,290178,748615,39,1186652,61,1935267,0,1935267
流鉄,100638,21225,121863,37,203339,63,325202,0,325202
銚子電気鉄道,5955,3717,9672,14,60640,86,70312,0,70312
小湊鉄道,91841,70889,162730,39,253162,61,415892,0,415892
山万,41339,5842,47181,39,75059,61,122240,0,122240
いすみ鉄道,3322,26038,29360,32,62763,68,92123,0,92123
江ノ島電鉄,438484,208163,646647,20,2554639,80,3201286,0,3201286
真岡鐵道,12935,116406,129341,48,140228,52,269569,0,269569
わたらせ渓谷鐵道,6185,16347,22532,13,152407,87,174939,0,174939
湘南モノレール,460077,112231,572308,34,1097195,66,1669503,0,1669503
#伊豆箱根鉄道,336143,74407,410550,42,575755,58,986305,0,986305
箱根登山鉄道,152031,45907,197938,7,2460651,93,2658589,0,2658589
富士急行,104523,161510,266033,16,1383523,84,1649556,0,1649556
芝山鉄道,32256,1695,33951,51,32724,49,66675,0,66675
