company_name,transport_revenue_passenger_teiki_tsukin,transport_revenue_passenger_teiki_tsugaku,transport_revenue_passenger_teiki_total,transport_revenue_passenger_teiki_percent,transport_revenue_passenger_teikigai,transport_revenue_passenger_teikigai_percent,transport_revenue_passenger_total,transport_revenue_passenger_baggage,transport_revenue_passenger_total2
太平洋石炭販売輸送,0,0,0,,0,,0,0,0
道南いさりび鉄道,20548,29733,50281,33,101069,67,151350,0,151350
中小計,20548,29733,50281,33,101069,67,151350,0,151350
札幌市,7307434,2352449,9659883,24,29867489,76,39527372,0,39527372
函館市,45704,13954,59658,6,905472,94,965130,0,965130
公営計,7353138,2366403,9719541,24,30772961,76,40492502,0,40492502
北海道運輸局計,7373686,2396136,9769822,24,30874030,76,40643852,0,40643852
弘南鉄道,36189,129892,166081,47,185192,53,351273,20,351293
津軽鉄道,1028,25505,26533,28,68737,72,95270,8,95278
三陸鉄道,8543,47451,55994,21,208196,79,264190,0,264190
福島交通,145646,45893,191539,38,307501,62,499040,0,499040
阿武隈急行,152532,162233,314765,47,357245,53,672010,0,672010
会津鉄道,17733,55039,72772,24,231456,76,304228,0,304228
秋田内陸縦貫鉄道,5185,30149,35334,29,87005,71,122339,0,122339
由利高原鉄道,3682,22905,26587,49,27871,51,54458,0,54458
山形鉄道,5315,79245,84560,60,57248,40,141808,0,141808
ＩＧＲいわて銀河鉄道,313137,283845,596982,47,660125,53,1257107,0,1257107
青い森鉄道,202338,174865,377203,27,1020941,73,1398144,0,1398144
八戸臨海鉄道,0,0,0,,0,,0,0,0
岩手開発鉄道,0,0,0,,0,,0,0,0
仙台臨海鉄道,0,0,0,,0,,0,0,0
福島臨海鉄道,0,0,0,,0,,0,0,0
秋田臨海鉄道,0,0,0,,0,,0,0,0
青函トンネル記念館,0,0,0,0,18151,100,18151,0,18151
仙台空港鉄道,150540,7970,158510,17,750826,83,909336,0,909336
中小計,1041868,1064992,2106860,35,3980494,65,6087354,28,6087382
仙台市,4331042,1089835,5420877,37,9326365,63,14747242,0,14747242
青森県,0,0,0,,0,,0,0,0
公営計,4331042,1089835,5420877,37,9326365,63,14747242,0,14747242
東北運輸局計,5372910,2154827,7527737,36,13306859,64,20834596,28,20834624
長野電鉄,502166,306750,808916,42,1132385,58,1941301,0,1941301
しなの鉄道,831539,646997,1478536,47,1641647,53,3120183,0,3120183
上田電鉄,36201,47680,83881,29,201546,71,285427,0,285427
アルピコ交通,55542,102503,158045,41,223083,59,381128,0,381128
北越急行,30827,52275,83102,22,294161,78,377263,0,377263
富山地方鉄道,415342,439472,854815,40,1259743,60,2114559,131,2114690
黒部峡谷鉄道,885,0,885,0,1599142,100,1600027,25031,1625058
北陸鉄道,92638,135082,227719,44,292654,56,520374,0,520374
のと鉄道,14842,52122,66964,40,101358,60,168322,0,168322
万葉線,21215,24206,45421,28,119697,72,165118,0,165118
関西電力,0,0,0,0,1092435,100,1092435,0,1092435
立山黒部貫光,0,0,0,0,1953142,100,1953142,0,1953142
富山ライトレール,55605,28636,84241,34,163317,66,247558,0,247558
えちごトキめき鉄道,46257,144113,190370,26,537115,74,727485,0,727485
あいの風とやま鉄道,854351,439927,1294278,44,1626499,56,2920777,0,2920777
ＩＲいしかわ鉄道,291411,212976,504387,39,779761,61,1284148,0,1284148
中小計,3248821,2632739,5881560,31,13017685,69,18899247,25162,18924409
富山市,0,0,0,,0,,0,0,0
公営計,0,0,0,0,0,0,0,0,0
北陸信越運輸局計,3248821,2632739,5881560,31,13017685,69,18899247,25162,18924409
東武鉄道,58064965,7965667,66030632,45,79849901,55,145880533,0,145880533
西武鉄道,40600171,3733114,44333285,45,53356864,55,97690149,0,97690149
京成電鉄,18530676,2038787,20569463,34,40164890,66,60734353,0,60734353
京王電鉄,31449737,3696500,35146237,43,46071002,57,81217239,0,81217239
小田急電鉄,39540928,6796270,46337198,40,69882882,60,116220080,0,116220080
東京急行電鉄,56658124,6128303,62786427,45,75834100,55,138620527,0,138620527
京浜急行電鉄,28853047,2107012,30960059,39,49120278,61,80080337,0,80080337
相模鉄道,14063927,1413247,15477175,50,15674549,50,31151724,0,31151724
東京地下鉄,135358356,10374499,145732855,44,187759629,56,333492484,0,333492484
大手計,423119931,44253399,467373331,43,617714095,57,1085087426,0,1085087426
埼玉新都市交通,1229436,377204,1606640,50,1595534,50,3202174,0,3202174
埼玉高速鉄道,4415221,364035,4779256,60,3150992,40,7930248,0,7930248
新京成電鉄,4572452,678133,5250585,48,5712835,52,10963420,0,10963420
北総鉄道,6448712,671476,7120188,58,5076048,42,12196236,0,12196236
成田空港高速鉄道,0,0,0,,0,,0,0,0
千葉都市モノレール,1087610,167715,1255325,39,1926857,61,3182182,0,3182182
東京モノレール,2441892,7250,2449142,19,10511848,81,12960990,0,12960990
横浜シーサイドライン,1543430,56059,1599489,43,2079376,57,3678865,0,3678865
ゆりかもめ,1873854,52344,1926198,19,7980454,81,9906651,0,9906651
東京臨海高速鉄道,6868736,269526,7138262,38,11550076,62,18688338,0,18688338
東葉高速鉄道,8001762,1065064,9066826,59,6208566,41,15275392,0,15275392
多摩都市モノレール,2302643,1221835,3524479,42,4853014,58,8377494,0,8377494
横浜高速鉄道,3111025,113297,3224322,32,7008299,68,10232621,0,10232621
ひたちなか海浜鉄道,33659,48176,81835,43,109473,57,191308,0,191308
鹿島臨海鉄道,66430,207670,274100,43,367976,57,642076,0,642076
関東鉄道,738861,366408,1105269,49,1158799,51,2264068,0,2264068
野岩鉄道,1981,680,2661,1,211524,99,214185,0,214185
上信電鉄,112882,198776,311658,49,321438,51,633096,0,633096
上毛電気鉄道,57727,100330,158057,52,146541,48,304598,0,304598
秩父鉄道,455997,277623,733620,39,1170771,61,1904391,0,1904391
流鉄,102950,20535,123485,38,198805,62,322290,0,322290
銚子電気鉄道,4728,4838,9566,12,71049,88,80615,0,80615
小湊鉄道,89874,75353,165227,37,287311,63,452538,0,452538
山万,42547,10769,53316,42,74073,58,127389,0,127389
いすみ鉄道,3366,24523,27889,29,67193,71,95082,0,95082
江ノ島電鉄,446270,214116,660386,20,2629308,80,3289695,0,3289695
真岡鐵道,11811,111086,122897,45,149089,55,271986,0,271986
わたらせ渓谷鐵道,6835,14856,21691,14,135358,86,157049,0,157049
湘南モノレール,476670,114342,591012,35,1099089,65,1690101,0,1690101
#伊豆箱根鉄道,335607,71482,407089,41,579059,59,986148,0,986148
箱根登山鉄道,155617,42901,198518,6,3076165,94,3274683,0,3274683
富士急行,105391,156835,262226,15,1457816,85,1720042,0,1720042
芝山鉄道,32727,1548,34275,50,34103,50,68378,0,68378
筑波観光鉄道,1394,0,1394,1,192429,99,193823,0,193823
高尾登山電鉄,2399,0,2399,0,544041,100,546440,2,546442
御岳登山鉄道,239,44,283,0,224775,100,225058,1560,226618
大山観光電鉄,0,0,0,0,215691,100,215691,0,215691
京葉臨海鉄道,0,0,0,,0,,0,0,0
神奈川臨海鉄道,0,0,0,,0,,0,0,0
舞浜リゾートライン,10416,0,10416,0,4862815,100,4873231,0,4873231
千葉ニュータウン鉄道,0,0,0,,0,,0,0,0
