company_name,transport_passengers_teiki_tsukin,transport_passengers_teiki_tsugaku,transport_passengers_teiki_total,transport_passengers_teiki_percent,transport_passengers_teikigai,transport_passengers_teikigai_percent,transport_passengers_sum
小湊鉄道,353,447,800,60,541,40,1341
山万,264,46,310,38,496,62,806
いすみ鉄道,38,221,259,59,176,40,436
江ノ島電鉄,3155,2190,5345,32,11155,68,16500
真岡鐵道,55,734,789,71,318,29,1107
わたらせ渓谷鐵道,38,155,193,44,247,56,440
湘南モノレール,3378,995,4373,44,5486,56,9859
#伊豆箱根鉄道,3315,1099,4415,58,3247,42,7662
箱根登山鉄道,1168,580,1748,19,7580,81,9328
富士急行,439,1024,1463,47,1643,53,3106
芝山鉄道,378,52,430,71,177,29,607
筑波観光鉄道,14,0,14,3,397,97,411
高尾登山電鉄,15,0,15,1,1396,99,1411
御岳登山鉄道,2,0,2,0,498,100,500
大山観光電鉄,0,0,0,0,424,100,424
京葉臨海鉄道,0,0,0,-,0,-,0
神奈川臨海鉄道,0,0,0,-,0,-,0
舞浜リゾートライン,60,0,60,0,18718,100,18778
首都圏新都市鉄道,62146,10143,72288,65,38371,35,110659
中小計,336987,77070,414057,54,346812,46,760870
東京都,464300,65393,529693,58,377001,42,906694
横浜市,107618,24300,131918,61,84534,39,216452
公営計,571918,89693,661611,59,461535,41,1123146
関東運輸局計,4299072.88,1047855,5346927.88,59,3743801.143,41,9090729.023
名古屋鉄道,140319,92453,232772,67,116393,33,349165
大手計,140319,92453,232772,67,116393,33,349165
#伊豆箱根鉄道,3258,2637,5895,57,4432,43,10327
伊豆急行,655,573,1228,25,3693,75,4921
岳南鉄道,248,79,327,43,435,57,762
静岡鉄道,3262,1149,4411,40,6640,60,11051
大井川鐵道,51,132,183,21,685,79,868
遠州鉄道,2145,1476,3621,39,5751,61,9373
天竜浜名湖鉄道,283,517,800,53,698,47,1498
豊橋鉄道,1943,2929,4872,49,5143,51,10015
明知鉄道,12,303,315,66,160,34,475
長良川鉄道,80,350,430,58,306,42,736
三岐鉄道,1335,2807,4142,74,1441,26,5583
伊勢鉄道,161,193,354,21,1342,79,1696
福井鉄道,255,584,839,47,939,53,1778
愛知環状鉄道,3737,4028,7765,52,7207,48,14972
樽見鉄道,80,302,382,59,264,41,646
東海交通事業,166,20,186,51,181,49,367
名古屋ガイドウェイバス,991,438,1429,38,2324,62,3753
西濃鉄道,0,0,0,-,0,-,0
名古屋臨海鉄道,0,0,0,-,0,-,0
衣浦臨海鉄道,0,0,0,-,0,-,0
えちぜん鉄道,584,1165,1749,54,1508,46,3257
愛知高速交通,825,3272,4097,59,2862,41,6959
名古屋臨海高速鉄道,3395,1174,4569,40,6714,60,11283
伊賀鉄道,257,965,1222,75,416,25,1638
養老鉄道,1831,3029,4860,78,1369,22,6229
中小計,25554,28122,53676,50,54510,50,108187
名古屋市,135509,80685,216194,50,217096,50,433290
公営計,135509,80685,216194,50,217096,50,433290
中部運輸局計,301382,201260,502642,56,387999,44,890642
近畿日本鉄道,213591,124803,338394,60,226786,40,565180
南海電気鉄道,102192,35755,137947,61,87182,39,225129
京阪電気鉄道,93045,40760,133805,48,144754,52,278559
阪急電鉄,212194,94413,306607,50,308717,50,615324
阪神電気鉄道,87520,23228,110748,50,110386,50,221134
大手計,708542,318959,1027501,54,877825,46,1905326
北大阪急行電鉄,24960,4312,29272,52,26564,48,55836
大阪府都市開発,22186,8810,30996,63,17871,37,48867
神戸電鉄,25368,12618,37985,65,20252,35,58237
山陽電気鉄道,24105,8358,32463,61,21106,39,53569
神戸新交通,11182,5408,16590,48,18025,52,34615
大阪高速鉄道,10943,2258,13201,35,24151,65,37352
北神急行電鉄,4547,1115,5662,62,3516,38,9178
能勢電鉄,8874,2995,11869,55,9523,45,21392
阪堺電気軌道,1781,1139,2920,38,4848,62,7768
京福電気鉄道,1400,399,1799,25,5475,75,7274
近江鉄道,1248,1672,2920,64,1645,36,4565
叡山電鉄,1628,1427,3055,45,3669,55,6724
水間鉄道,764,395,1159,61,726,39,1885
北条鉄道,35,175,210,61,132,39,342
紀州鉄道,37,26,63,57,47,43,110
北近畿タンゴ鉄道,170,832,1002,54,868,46,1870
信楽高原鐵道,55,327,382,76,122,24,504
嵯峨野観光鉄道,0,0,0,0,940,100,940
比叡山鉄道,17,0,17,8,186,92,203
鞍馬寺,0,0,0,0,292,100,292
丹後海陸交通,1,0,1,0,562,100,563
六甲摩耶鉄道,33,17,50,11,389,88,440
神戸すまいまちづくり公社,0,0,0,0,117,100,117
和歌山電鐵,663,754,1417,65,749,35,2166
中小計,139997,53037,193033,54,161775,46,354809
京都市,44855,22292,67147,47,76321,53,143468
大阪市,240962,38575,279537,33,562639,67,842176
神戸市,38694,14785,53480,51,50975,49,104455
公営計,324511,75652,400164,37,689935,63,1090099
近畿運輸局計,1173050,447648,1620698,48,1729535,52,3350234
岡山電気軌道,453,646,1099,31,2444,69,3543
一畑電車,275,549,824,59,565,41,1389
広島電鉄,8770,3504,12274,22,42947,78,55221
智頭急行,25,81,106,10,959,90,1065
若桜鉄道,45,244,289,73,106,27,395
錦川鉄道,25,110,135,62,83,38,218
広島高速交通,6275,2943,9218,48,9869,52,19087
井原鉄道,290,358,648,65,354,35,1002
スカイレールサービス,132,64,196,54,169,46,365
水島臨海鉄道,412,566,978,59,690,41,1668
中小計,16702,9065,25767,31,58186,69,83953
中国運輸局計,16702,9065,25767,31,58186,69,83953
土佐電気鉄道,1515,529,2044,33,4063,67,6106
高松琴平電気鉄道,5032,2337,7369,58,5250,42,12619
阿佐海岸鉄道,3,4,7,18,33,83,40
伊予鉄道,5625,1706,7331,41,10639,59,17970
土佐くろしお鉄道,263,909,1172,59,830,41,2002
四国ケーブル,8,0,8,4,215,96,223
中小計,12446,5485,17931,46,21030,54,38960
四国運輸局計,12446,5485,17931,46,21030,54,38960
西日本鉄道,31823,21014,52837,54,45298,46,98135
大手計,31823,21014,52837,54,45298,46,98135
北九州高速鉄道,3640,1379,5019,45,6211,55,11230
長崎電気軌道,949,961,1910,11,15058,89,16968
甘木鉄道,409,416,825,62,505,38,1330
筑豊電気鉄道,1565,956,2521,52,2329,48,4850
島原鉄道,253,682,935,62,579,38,1514
熊本電気鉄道,454,372,826,47,939,53,1765
南阿蘇鉄道,5,97,103,45,125,55,228
松浦鉄道,280,1559,1839,63,1073,37,2912
平成筑豊鉄道,265,838,1103,61,711,39,1814
くま川鉄道,17,563,580,78,160,22,740
帆柱ケーブル,0,0,0,0,188,100,188
岡本製作所,0,0,0,0,220,100,220
肥薩おれんじ鉄道,102,971,1073,78,294,22,1367
中小計,7939,8794,16734,37,28392,63,45126
福岡市,43657,18415,62072,45,75174,55,137246
熊本市,1275,820,2096,20,8191,80,10287
鹿児島市,1206,1061,2267,21,8482,79,10749
公営計,46138,20296,66435,42,91847,58,158282
九州運輸局計,85900,50104,136006,45,165537,55,301543
沖縄都市モノレール,1305,914,2219,17,11172,83,13391
中小計,1305,914,2219,17,11172,83,13391
沖縄総合事務局計,1305,914,2219,17,11172,83,13391
大手合計,4270852,1313518,5584370,58,3974970,42,9559339
中小合計,555167,204102,759268,52,712012,48,1471282
公営合計,1143703,307795,1451500,46,1676499,54,3127999
総合計（民鉄）,5969721.62,1825415.12,7795137.74,55,6363480.890000001,45,14158619.629999999
北海道旅客鉄道,44728,31498,76226,58,54900,42,131126
東日本旅客鉄道,3020429,776970,3797399,62,2337308,38,6134707
東海旅客鉄道,179246,86259,265505,51,258685,49,524190
西日本旅客鉄道,846811,293470,1140281,63,673301,37,1813582
四国旅客鉄道,11141,17376,28517,63,16557,37,45074
九州旅客鉄道,115221,88503,203724,65,110398,35,314122
日本貨物鉄道,0,0,0,-,0,-,0
