company_name,transport_passengers_teiki_tsukin,transport_passengers_teiki_tsugaku,transport_passengers_teiki_total,transport_passengers_teiki_percent,transport_passengers_teikigai,transport_passengers_teikigai_percent,transport_passengers_sum
太平洋石炭販売輸送,0,0,0,-,0,-,0
中小計,0,0,0,0,0,0,0
札幌市,45921,35894,81815,31,181472,69,263287
函館市,290,105,395,7,5137,93,5532
公営計,46211,35999,82210,31,186609,69,268819
北海道運輸局計,46211,35999,82210,31,186609,69,268819
弘南鉄道,155,1120,1275,66,650,34,1925
津軽鉄道,8,136,144,47,160,53,304
三陸鉄道,6,212,218,56,171,44,389
福島交通,959,474,1433,53,1248,47,2681
阿武隈急行,594,867,1461,58,1063,42,2524
会津鉄道,34,208,242,44,306,56,548
秋田内陸縦貫鉄道,18,165,183,50,184,50,367
由利高原鉄道,23,174,197,71,80,29,277
山形鉄道,21,506,526,75,179,25,705
ＩＧＲいわて銀河鉄道,1115,2205,3320,67,1623,33,4943
青い森鉄道,659,1867,2527,60,1664,40,4191
八戸臨海鉄道,0,0,0,-,0,-,0
岩手開発鉄道,0,0,0,-,0,-,0
仙台臨海鉄道,0,0,0,-,0,-,0
福島臨海鉄道,0,0,0,-,0,-,0
秋田臨海鉄道,0,0,0,-,0,-,0
青函トンネル記念館,0,0,0,0,65,100,65
仙台空港鉄道,943,77,1020,36,1850,64,2870
中小計,4535,8011,12546,58,9243,42,21789
仙台市,19416,5470,24886,46,29477,54,54363
公営計,19416,5470,24886,46,29477,54,54363
東北運輸局計,23951,13481,37432,49,38720,51,76152
長野電鉄,2163,2472,4635,62,2877,38,7512
しなの鉄道,2948,4176,7124,71,2950,29,10074
上田電鉄,214,359,573,49,606,51,1179
アルピコ交通,199,813,1012,65,545,35,1557
北越急行,124,554,678,17,3249,83,3927
富山地方鉄道,2855,3070,5925,62,3645,38,9570
黒部峡谷鉄道,11,0,11,1,1032,99,1043
北陸鉄道,493,962,1454,55,1176,45,2630
のと鉄道,61,412,473,70,204,30,677
万葉線,154,379,533,43,711,57,1244
関西電力,0,0,0,0,888,100,888
立山黒部貫光,0,0,0,0,1947,100,1947
富山ライトレール,480,407,887,46,1062,54,1949
中小計,9702,13604,23305,53,20892,47,44197
北陸信越運輸局計,9702,13604,23305,53,20892,47,44197
東武鉄道,415235,152661,567896,65,311144,35,879040
西武鉄道,290504,91014,381518,61,238960,39,620478
京成電鉄,116303,35744,152047,58,109153,42,261200
京王電鉄,267414,93531,360945,58,264740,42,625685
小田急電鉄,312560,129035,441595,61,279882,39,721477
東京急行電鉄,506829,135656,642485,59,447003,41,1089488
京浜急行電鉄,197836,44699,242535,56,192262,44,434797
東京地下鉄,1168178,168320,1336498,57,1012415,43,2348913
相模鉄道,115309,30432,145741,65,79895,35,225635
大手計,3390168,881092,4271260,59,2935454,41,7206713
埼玉新都市交通,7105,2560,9665,58,6911,42,16576
埼玉高速鉄道,20234,2329,22563,70,9531,30,32094
新京成電鉄,50741,13287,64028,63,37380,37,101408
北総鉄道,19208,4954,24162,68,11345,32,35507
千葉都市モノレール,6687,1361,8048,49,8400,51,16448
東京モノレール,17989,114,18103,40,27145,60,45248
横浜新都市交通,8777,422,9199,52,8492,48,17691
ゆりかもめ,12779,491,13270,34,26110,66,39380
東京臨海高速鉄道,39966,2737,42703,53,38512,47,81215
東葉高速鉄道,27107,6259,33366,68,15557,32,48923
多摩都市モノレール,12785,13553,26338,57,19641,43,45979
横浜高速鉄道,27727,1775,29502,46,34405,54,63907
ひたちなか海浜鉄道,124,309,433,55,355,45,788
鹿島臨海鉄道,291,1073,1364,64,784,36,2148
関東鉄道,4232,2028,6260,60,4090,40,10350
野岩鉄道,6,16,22,5,380,95,402
上信電鉄,409,1268,1677,74,576,26,2253
上毛電気鉄道,284,850,1134,71,455,29,1589
秩父鉄道,2413,3080,5493,67,2647,33,8140
流鉄,1019,282,1301,46,1524,54,2825
銚子電気鉄道,42,112,154,30,356,70,510
