company_name,transport_passengers_teiki_tsukin,transport_passengers_teiki_tsugaku,transport_passengers_teiki_total,transport_passengers_teiki_percent,transport_passengers_teikigai,transport_passengers_teikigai_percent,transport_passengers_sum
太平洋石炭販売輸送,0,0,0,-,0,-,0
道南いさりび鉄道,2,2,4,29,10,71,14
中小計,2,2,4,29,10,71,14
札幌市,55065,43052,98117,35,178719,65,276836
函館市,307,107,414,8,4864,92,5278
公営計,55372,43159,98531,35,183583,65,282114
北海道運輸局計,55374,43161,98535,35,183593,65,282128
弘南鉄道,179,1013,1192,66,605,34,1797
津軽鉄道,5,126,131,46,152,54,283
三陸鉄道,15,227,242,35,449,65,691
福島交通,778,294,1072,44,1343,56,2415
阿武隈急行,668,886,1554,60,1039,40,2593
会津鉄道,31,193,224,44,289,56,513
秋田内陸縦貫鉄道,21,140,161,52,151,48,312
由利高原鉄道,16,140,156,70,67,30,223
山形鉄道,26,426,452,76,145,24,597
ＩＧＲいわて銀河鉄道,1491,2243,3734,72,1436,28,5170
青い森鉄道,767,1966,2733,62,1664,38,4397
八戸臨海鉄道,0,0,0,-,0,-,0
岩手開発鉄道,0,0,0,-,0,-,0
仙台臨海鉄道,0,0,0,-,0,-,0
福島臨海鉄道,0,0,0,-,0,-,0
秋田臨海鉄道,0,0,0,-,0,-,0
青函トンネル記念館,0,0,0,0,48,100,48
仙台空港鉄道,1299,131,1430,38,2331,62,3761
中小計,5296,7785,13081,57,9719,43,22800
仙台市,25248,6844,32092,51,31208,49,63300
公営計,25248,6844,32092,51,31208,49,63300
東北運輸局計,30544,14629,45173,52,40927,48,86100
長野電鉄,2370,2546,4916,61,3161,39,8077
しなの鉄道,4498,5938,10436,71,4272,29,14708
上田電鉄,243,392,635,49,664,51,1299
アルピコ交通,225,863,1088,65,579,35,1667
北越急行,136,508,644,50,643,50,1287
富山地方鉄道,3346,3880,7226,61,4869,39,12095
黒部峡谷鉄道,5,0,5,0,1078,100,1083
北陸鉄道,546,1006,1552,54,1306,46,2858
のと鉄道,57,383,440,63,256,37,696
万葉線,162,303,465,39,720,61,1185
関西電力,0,0,0,0,1010,100,1010
立山黒部貫光,0,0,0,0,2266,100,2266
富山ライトレール,543,419,962,47,1094,53,2056
えちごトキめき鉄道株式会社,368,2076,2444,60,1627,40,4071
あいの風とやま鉄道,5113,5590,10703,72,4069,28,14772
ＩＲいしかわ鉄道,2746,3789,6535,69,2941,31,9476
中小計,20358,27693,48051,61,30555,39,78606
北陸信越運輸局計,20358,27693,48051,61,30555,39,78606
東武鉄道,432475,155874,588349,65,315411,35,903760
西武鉄道,308173,91344,399517,62,243177,38,642694
京成電鉄,124053,36614,160667,59,113902,41,274569
京王電鉄,289730,93998,383728,59,268612,41,652340
小田急電鉄,326512,131678,458190,62,286184,38,744374
東京急行電鉄,544652,141961,686613,60,461955,40,1148568
京浜急行電鉄,207936,45971,253907,55,205780,45,459687
相模鉄道,117948,30839,148787,65,80246,35,229033
東京地下鉄,1289826,186112,1475938,57,1110541,43,2586479
大手計,3641305,914391,4555696,60,3085808,40,7641504
埼玉新都市交通,7860,2806,10666,60,7042,40,17708
埼玉高速鉄道,23470,2608,26078,71,10770,29,36848
