company_name,transport_passengers_teiki_tsukin,transport_passengers_teiki_tsugaku,transport_passengers_teiki_total,transport_passengers_teiki_percent,transport_passengers_teikigai,transport_passengers_teikigai_percent,transport_passengers_sum
新京成電鉄,52184,13505,65689,64,37647,36,103336
北総鉄道,20341,4845,25186,69,11573,31,36759
千葉都市モノレール,7488,1580,9068,52,8519,48,17587
東京モノレール,17755,117,17872,40,27273,60,45145
横浜シーサイドライン,9669,469,10138,54,8527,46,18665
ゆりかもめ,15516,592,16108,35,29427,65,45535
東京臨海高速鉄道,43334,3417,46751,53,42109,47,88860
東葉高速鉄道,28919,7828,36747,70,16080,30,52827
多摩都市モノレール,14327,14389,28716,57,21782,43,50498
横浜高速鉄道,31131,1890,33021,46,39386,54,72407
ひたちなか海浜鉄道,175,385,560,57,428,43,988
鹿島臨海鉄道,269,1023,1292,61,812,39,2104
関東鉄道,4533,2199,6732,62,4039,38,10771
野岩鉄道,7,8,15,4,338,96,353
上信電鉄,407,1203,1610,70,680,30,2290
上毛電気鉄道,288,805,1093,69,481,31,1574
秩父鉄道,2340,2955,5295,65,2877,35,8172
流鉄,1072,308,1380,49,1459,51,2839
銚子電気鉄道,29,80,109,28,279,72,388
小湊鉄道,331,377,708,58,520,42,1228
山万,254,73,327,39,516,61,843
いすみ鉄道,18,200,218,55,175,45,393
江ノ島電鉄,3514,2395,5909,32,12475,68,18384
真岡鐵道,58,706,764,75,261,25,1025
わたらせ渓谷鐵道,42,149,191,44,248,56,439
湘南モノレール,3548,1053,4601,45,5711,55,10312
伊豆箱根鉄道,3474,1116,4590,59,3236,41,7826
#箱根登山鉄道,1211,514,1725,21,6308,79,8033
富士急行,403,1001,1404,42,2130,63,3373
芝山鉄道,314,40,354,67,177,33,531
筑波観光鉄道,12,0,12,3,412,97,424
高尾登山電鉄,15,0,15,1,1338,99,1353
御岳登山鉄道,1,0,1,0,464,100,465
大山観光電鉄,0,0,0,0,423,100,423
京葉臨海鉄道,0,0,0,-,0,-,0
神奈川臨海鉄道,0,0,0,-,0,-,0
舞浜リゾートライン,95,0,95,0,20845,100,20940
首都圏新都市鉄道,70156,10370,80526,65,42624,35,123150
中小計,364560,81006,445566,55,369391,45,814796
東京都,513611,71099,584710,59,410897,41,995607
横浜市,118330,26830,145160,62,87266,38,232426
公営計,631941,97929,729870,59,498163,41,1228033
関東運輸局計,4637806,1093326,5731131,59,3953362,41,9684332
名古屋鉄道,152446,99115,251561,67,121958,33,373519
大手計,152446,99115,251561,67,121958,33,373519
#伊豆箱根鉄道,3235,2532,5767,57,4327,43,10093
伊豆急行,699,591,1290,26,3643,74,4933
岳南電車,250,85,335,42,471,58,806
静岡鉄道,4073,1169,5242,45,6289,55,11531
大井川鐵道,38,76,114,17,547,83,661
遠州鉄道,2399,1581,3979,41,5843,59,9822
天竜浜名湖鉄道,276,581,857,56,667,44,1524
豊橋鉄道,2249,3355,5604,96,5187,104,10791
明知鉄道,12,214,226,56,176,44,402
長良川鉄道,95,363,458,61,299,39,757
三岐鉄道,1398,2865,4263,74,1527,26,5790
伊勢鉄道,189,199,388,23,1311,77,1699
福井鉄道,316,703,1019,51,965,49,1984
愛知環状鉄道,4496,4092,8588,52,7994,48,16583
樽見鉄道,89,290,379,57,287,43,666
東海交通事業,187,19,206,54,177,46,383
名古屋ガイドウェイバス,1237,505,1742,42,2426,58,4168
西濃鉄道,0,0,0,-,0,-,0
名古屋臨海鉄道,0,0,0,-,0,-,0
衣浦臨海鉄道,0,0,0,-,0,-,0
えちぜん鉄道,626,1188,1814,52,1645,48,3459
愛知高速交通,1024,3323,4347,57,3236,43,7583
名古屋臨海高速鉄道,4047,1240,5287,42,7402,58,12689
伊賀鉄道,239,857,1096,72,420,28,1516
養老鉄道,1735,2975,4711,78,1298,22,6009
四日市あすなろう鉄道,930,1238,2168,70,914,30,3082
中小計,29839,30041,59880,51,57051,49,116931
名古屋市,155903,87015,242918,52,223151,48,466069
四日市市,0,0,0,-,0,-,0
公営計,155903,87015,242918,52,223151,48,466069
中部運輸局計,338188,216171,554359,58,402160,42,956519
近畿日本鉄道,215532,123670,339202,59,234293,41,573495
南海電気鉄道,102147,36735,138882,60,94419,40,233301
京阪電気鉄道,96866,41892,138758,48,149617,52,288375
阪急電鉄,226852,98689,325541,51,319023,49,644564
阪神電気鉄道,93131,24655,117786,50,116440,50,234226
大手計,734528,325641,1060169,54,913792,46,1973961
北大阪急行電鉄,26560,4430,30990,53,27885,47,58875
泉北高速鉄道,20909,9432,30341,62,18778,38,49119
神戸電鉄,25833,12551,38384,65,20516,35,58900
山陽電気鉄道,25398,8623,34021,60,22508,40,56529
神戸新交通,13318,6103,19421,51,18968,49,38389
大阪高速鉄道,12909,2491,15400,35,29154,65,44554
北神急行電鉄,4585,1077,5662,62,3470,38,9132
能勢電鉄,9185,2978,12163,56,9495,44,21658
阪堺電気軌道,1578,858,2436,30,5746,70,8182
京福電気鉄道,1282,353,1635,20,6428,80,8063
近江鉄道,1362,1716,3078,67,1502,33,4580
叡山電鉄,1783,1490,3273,46,3809,54,7082
水間鉄道,807,354,1161,61,739,39,1900
北条鉄道,40,163,203,58,147,42,350
紀州鉄道,42,28,70,60,47,40,117
#北近畿タンゴ鉄道,0,0,0,-,0,-,0
信楽高原鐵道,60,294,354,73,130,27,484
嵯峨野観光鉄道,0,0,0,0,1231,100,1231
比叡山鉄道,15,0,15,6,238,94,253
鞍馬寺,0,0,0,0,31,100,31
丹後海陸交通,1,0,1,0,612,100,613
六甲山観光,15,27,42,8,456,92,498
神戸すまいまちづくり公社,0,0,0,0,141,100,141
和歌山電鐵,674,808,1482,64,838,36,2320
ＷＩＬＬＥＲ　ＴＲＡＩＮＳ,179,803,982,53,884,47,1866
中小計,146535,54579,201114,54,173753,46,374867
京都市,48936,24905,73841,47,83864,53,157705
大阪市,247416,38777,286193,32,602730,68,888923
神戸市,40455,14785,55240,53,48755,47,103995
公営計,336807,78467,415274,36,735349,64,1150623
近畿運輸局計,1217870,458687,1676557,48,1822894,52,3499451
岡山電気軌道,504,678,1182,32,2522,68,3704
一畑電車,246,510,756,54,641,46,1397
広島電鉄,10034,3444,13478,24,43118,76,56596
智頭急行,19,105,124,11,1001,89,1125
若桜鉄道,56,171,227,70,99,30,326
錦川鉄道,20,101,121,61,77,39,198
広島高速交通,7754,3579,11333,51,10912,49,22245
井原鉄道,337,423,760,66,393,34,1153
スカイレールサービス,175,80,255,57,193,43,448
水島臨海鉄道,452,552,1004,58,737,42,1741
中小計,19597,9643,29240,33,59693,67,88933
中国運輸局計,19597,9643,29240,33,59693,67,88933
とさでん交通,1594,488,2082,34,3955,66,6037
高松琴平電気鉄道,5443,2518,7961,59,5630,41,13591
阿佐海岸鉄道,3,1,4,9,40,91,44
伊予鉄道,6133,1696,7830,42,11006,58,18835
土佐くろしお鉄道,252,870,1122,59,788,41,1910
四国ケーブル,8,0,8,3,262,97,270
中小計,13433,5573,19007,47,21681,53,40687
四国運輸局計,13433,5573,19007,47,21681,53,40687
西日本鉄道,34079,21396,55475,54,46476,46,101951
大手計,34079,21396,55475,54,46476,46,101951
北九州高速鉄道,3908,1489,5397,46,6266,54,11663
長崎電気軌道,1044,913,1957,11,15689,89,17646
甘木鉄道,467,395,862,62,528,38,1390
筑豊電気鉄道,1636,987,2623,55,2105,45,4728
島原鉄道,275,679,954,63,567,37,1521
熊本電気鉄道,683,450,1133,53,1011,47,2144
南阿蘇鉄道,7,70,77,30,180,70,257
松浦鉄道,292,1523,1815,62,1093,38,2908
平成筑豊鉄道,255,809,1064,62,658,38,1722
くま川鉄道,16,520,536,77,158,23,694
皿倉登山鉄道,0,0,0,0,195,100,195
岡本製作所,0,0,0,0,94,100,94
肥薩おれんじ鉄道,100,834,934,75,309,25,1243
中小計,8683,8669,17352,38,28853,62,46205
福岡市,52594,20555,73149,47,82932,53,156081
熊本市,1217,676,1893,17,9138,83,11031
鹿児島市,1379,1038,2417,22,8560,78,10977
公営計,55190,22269,77459,43,100630,57,178089
九州運輸局計,97952,52334,150286,46,175959,54,326245
沖縄都市モノレール,2029,985,3014,19,13143,81,16157
中小計,2029,985,3014,19,13143,81,16157
沖縄総合事務局計,2029,985,3014,19,13143,81,16157
大手合計,4562358,1360543,5922901,59,4168034,41,10090935
中小合計,610331,225976,836308,52,763849,48,1599996
公営合計,1260461,335683,1596144,47,1772084,53,3368228
総合計（民鉄）,6433150,1922201,8355353,55,6703966,45,15059158
前年度実績（民鉄）,6260027,1848952,8108980,130,6485452,45,14594432
北海道旅客鉄道,47077,30453,77531,58,56847,42,134378
東日本旅客鉄道,3136823,781458,3918281,62,2446650,38,6364931
東海旅客鉄道,185150,89478,274628,50,276302,50,550930
西日本旅客鉄道,865461,296121,1161583,62,719230,38,1880813
四国旅客鉄道,11078,17879,28957,63,17160,37,46117
九州旅客鉄道,122069,90113,212182,64,118439,36,330622
日本貨物鉄道,0,0,0,-,0,-,0
